user1_id,user2_id,match_percentage
USER_001,USER_002,98
USER_001,USER_003,95
USER_001,USER_004,57
USER_001,USER_005,99
USER_001,USER_006,31
USER_001,USER_007,87
USER_001,USER_008,100
USER_001,USER_009,98
USER_001,USER_010,42
USER_001,USER_011,31
USER_001,USER_012,99
USER_001,USER_013,3
USER_001,USER_014,10
USER_001,USER_015,92
USER_001,USER_016,28
USER_001,USER_017,37
USER_001,USER_018,95
USER_001,USER_019,68
USER_001,USER_020,14
USER_001,USER_021,53
USER_001,USER_022,3
USER_001,USER_023,59
USER_001,USER_024,3
USER_001,USER_025,9
USER_001,USER_026,35
USER_001,USER_027,98
USER_001,USER_028,7
USER_001,USER_029,91
USER_001,USER_030,6
USER_001,USER_031,56
USER_001,USER_032,34
USER_001,USER_033,97
USER_001,USER_034,94
USER_001,USER_035,18
USER_001,USER_036,97
USER_001,USER_037,28
USER_001,USER_038,1
USER_001,USER_039,62
USER_001,USER_040,68
USER_001,USER_041,62
USER_001,USER_042,100
USER_001,USER_043,81
USER_001,USER_044,96
USER_001,USER_045,43
USER_001,USER_046,12
USER_001,USER_047,0
USER_001,USER_048,0
USER_001,USER_049,3
USER_001,USER_050,45
USER_001,USER_051,95
USER_001,USER_052,4
USER_001,USER_053,3
USER_001,USER_054,4
USER_001,USER_055,11
USER_001,USER_056,2
USER_001,USER_057,98
USER_001,USER_058,8
USER_001,USER_059,1
USER_001,USER_060,68
USER_001,USER_061,6
USER_001,USER_062,99
USER_001,USER_063,2
USER_001,USER_064,0
USER_001,USER_065,1
USER_001,USER_066,99
USER_001,USER_067,0
USER_001,USER_068,2
USER_001,USER_069,79
USER_001,USER_070,63
USER_001,USER_071,98
USER_001,USER_072,96
USER_001,USER_073,37
USER_001,USER_074,100
USER_001,USER_075,0
USER_001,USER_076,7
USER_001,USER_077,83
USER_001,USER_078,0
USER_001,USER_079,11
USER_001,USER_080,98
USER_001,USER_081,97
USER_001,USER_082,0
USER_001,USER_083,95
USER_001,USER_084,50
USER_001,USER_085,97
USER_001,USER_086,71
USER_001,USER_087,9
USER_001,USER_088,94
USER_001,USER_089,93
USER_001,USER_090,0
USER_001,USER_091,84
USER_001,USER_092,99
USER_001,USER_093,5
USER_001,USER_094,86
USER_001,USER_095,48
USER_001,USER_096,21
USER_001,USER_097,69
USER_001,USER_098,27
USER_001,USER_099,3
USER_001,USER_100,2
USER_002,USER_003,82
USER_002,USER_004,22
USER_002,USER_005,78
USER_002,USER_006,16
USER_002,USER_007,40
USER_002,USER_008,97
USER_002,USER_009,93
USER_002,USER_010,4
USER_002,USER_011,12
USER_002,USER_012,98
USER_002,USER_013,3
USER_002,USER_014,11
USER_002,USER_015,91
USER_002,USER_016,17
USER_002,USER_017,1
USER_002,USER_018,94
USER_002,USER_019,73
USER_002,USER_020,18
USER_002,USER_021,43
USER_002,USER_022,2
USER_002,USER_023,61
USER_002,USER_024,1
USER_002,USER_025,9
USER_002,USER_026,75
USER_002,USER_027,55
USER_002,USER_028,5
USER_002,USER_029,61
USER_002,USER_030,10
USER_002,USER_031,92
USER_002,USER_032,57
USER_002,USER_033,85
USER_002,USER_034,98
USER_002,USER_035,5
USER_002,USER_036,90
USER_002,USER_037,5
USER_002,USER_038,20
USER_002,USER_039,20
USER_002,USER_040,78
USER_002,USER_041,96
USER_002,USER_042,98
USER_002,USER_043,76
USER_002,USER_044,82
USER_002,USER_045,8
USER_002,USER_046,3
USER_002,USER_047,2
USER_002,USER_048,1
USER_002,USER_049,8
USER_002,USER_050,23
USER_002,USER_051,92
USER_002,USER_052,2
USER_002,USER_053,1
USER_002,USER_054,8
USER_002,USER_055,3
USER_002,USER_056,0
USER_002,USER_057,75
USER_002,USER_058,86
USER_002,USER_059,0
USER_002,USER_060,9
USER_002,USER_061,37
USER_002,USER_062,98
USER_002,USER_063,1
USER_002,USER_064,0
USER_002,USER_065,0
USER_002,USER_066,91
USER_002,USER_067,0
USER_002,USER_068,19
USER_002,USER_069,63
USER_002,USER_070,52
USER_002,USER_071,94
USER_002,USER_072,46
USER_002,USER_073,85
USER_002,USER_074,97
USER_002,USER_075,0
USER_002,USER_076,1
USER_002,USER_077,87
USER_002,USER_078,1
USER_002,USER_079,40
USER_002,USER_080,99
USER_002,USER_081,100
USER_002,USER_082,0
USER_002,USER_083,27
USER_002,USER_084,31
USER_002,USER_085,96
USER_002,USER_086,65
USER_002,USER_087,2
USER_002,USER_088,97
USER_002,USER_089,49
USER_002,USER_090,0
USER_002,USER_091,24
USER_002,USER_092,100
USER_002,USER_093,6
USER_002,USER_094,88
USER_002,USER_095,22
USER_002,USER_096,3
USER_002,USER_097,97
USER_002,USER_098,9
USER_002,USER_099,1
USER_002,USER_100,17
USER_003,USER_004,15
USER_003,USER_005,86
USER_003,USER_006,32
USER_003,USER_007,6
USER_003,USER_008,93
USER_003,USER_009,99
USER_003,USER_010,10
USER_003,USER_011,5
USER_003,USER_012,98
USER_003,USER_013,0
USER_003,USER_014,3
USER_003,USER_015,60
USER_003,USER_016,20
USER_003,USER_017,2
USER_003,USER_018,18
USER_003,USER_019,79
USER_003,USER_020,91
USER_003,USER_021,34
USER_003,USER_022,0
USER_003,USER_023,93
USER_003,USER_024,3
USER_003,USER_025,1
USER_003,USER_026,18
USER_003,USER_027,83
USER_003,USER_028,3
USER_003,USER_029,6
USER_003,USER_030,27
USER_003,USER_031,97
USER_003,USER_032,62
USER_003,USER_033,98
USER_003,USER_034,33
USER_003,USER_035,41
USER_003,USER_036,93
USER_003,USER_037,22
USER_003,USER_038,0
USER_003,USER_039,18
USER_003,USER_040,51
USER_003,USER_041,33
USER_003,USER_042,71
USER_003,USER_043,75
USER_003,USER_044,99
USER_003,USER_045,6
USER_003,USER_046,2
USER_003,USER_047,0
USER_003,USER_048,1
USER_003,USER_049,84
USER_003,USER_050,10
USER_003,USER_051,92
USER_003,USER_052,3
USER_003,USER_053,11
USER_003,USER_054,52
USER_003,USER_055,0
USER_003,USER_056,0
USER_003,USER_057,36
USER_003,USER_058,11
USER_003,USER_059,2
USER_003,USER_060,4
USER_003,USER_061,3
USER_003,USER_062,60
USER_003,USER_063,1
USER_003,USER_064,0
USER_003,USER_065,1
USER_003,USER_066,79
USER_003,USER_067,0
USER_003,USER_068,3
USER_003,USER_069,97
USER_003,USER_070,11
USER_003,USER_071,52
USER_003,USER_072,20
USER_003,USER_073,63
USER_003,USER_074,71
USER_003,USER_075,0
USER_003,USER_076,1
USER_003,USER_077,92
USER_003,USER_078,1
USER_003,USER_079,9
USER_003,USER_080,98
USER_003,USER_081,78
USER_003,USER_082,2
USER_003,USER_083,11
USER_003,USER_084,14
USER_003,USER_085,72
USER_003,USER_086,99
USER_003,USER_087,9
USER_003,USER_088,67
USER_003,USER_089,12
USER_003,USER_090,0
USER_003,USER_091,46
USER_003,USER_092,78
USER_003,USER_093,5
USER_003,USER_094,28
USER_003,USER_095,1
USER_003,USER_096,4
USER_003,USER_097,78
USER_003,USER_098,2
USER_003,USER_099,1
USER_003,USER_100,6
USER_004,USER_005,1
USER_004,USER_006,2
USER_004,USER_007,97
USER_004,USER_008,20
USER_004,USER_009,6
USER_004,USER_010,98
USER_004,USER_011,97
USER_004,USER_012,23
USER_004,USER_013,39
USER_004,USER_014,77
USER_004,USER_015,8
USER_004,USER_016,0
USER_004,USER_017,61
USER_004,USER_018,1
USER_004,USER_019,1
USER_004,USER_020,2
USER_004,USER_021,1
USER_004,USER_022,92
USER_004,USER_023,8
USER_004,USER_024,91
USER_004,USER_025,78
USER_004,USER_026,1
USER_004,USER_027,1
USER_004,USER_028,94
USER_004,USER_029,0
USER_004,USER_030,0
USER_004,USER_031,51
USER_004,USER_032,1
USER_004,USER_033,48
USER_004,USER_034,3
USER_004,USER_035,97
USER_004,USER_036,3
USER_004,USER_037,100
USER_004,USER_038,98
USER_004,USER_039,3
USER_004,USER_040,0
USER_004,USER_041,92
USER_004,USER_042,11
USER_004,USER_043,33
USER_004,USER_044,21
USER_004,USER_045,97
USER_004,USER_046,33
USER_004,USER_047,67
USER_004,USER_048,67
USER_004,USER_049,95
USER_004,USER_050,90
USER_004,USER_051,8
USER_004,USER_052,96
USER_004,USER_053,90
USER_004,USER_054,1
USER_004,USER_055,94
USER_004,USER_056,9
USER_004,USER_057,1
USER_004,USER_058,84
USER_004,USER_059,48
USER_004,USER_060,90
USER_004,USER_061,93
USER_004,USER_062,2
USER_004,USER_063,77
USER_004,USER_064,11
USER_004,USER_065,65
USER_004,USER_066,3
USER_004,USER_067,37
USER_004,USER_068,98
USER_004,USER_069,24
USER_004,USER_070,0
USER_004,USER_071,3
USER_004,USER_072,0
USER_004,USER_073,1
USER_004,USER_074,2
USER_004,USER_075,97
USER_004,USER_076,69
USER_004,USER_077,6
USER_004,USER_078,78
USER_004,USER_079,99
USER_004,USER_080,80
USER_004,USER_081,11
USER_004,USER_082,60
USER_004,USER_083,95
